ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
480,Sliding Window Median,37.20%,Hard,0.03373001, https://leetcode.com/problems/sliding-window-median
694,Number of Distinct Islands,56.00%,Medium,0.032789823, https://leetcode.com/problems/number-of-distinct-islands
300,Longest Increasing Subsequence,42.60%,Medium,0.032457737, https://leetcode.com/problems/longest-increasing-subsequence
1146,Snapshot Array,37.00%,Medium,0.031799182, https://leetcode.com/problems/snapshot-array
1114,Print in Order,65.70%,Easy,0.031748698, https://leetcode.com/problems/print-in-order
304,Range Sum Query 2D - Immutable,38.60%,Medium,0.031036974, https://leetcode.com/problems/range-sum-query-2d-immutable
703,Kth Largest Element in a Stream,49.70%,Easy,0.031004895, https://leetcode.com/problems/kth-largest-element-in-a-stream
460,LFU Cache,34.20%,Hard,0.030962226, https://leetcode.com/problems/lfu-cache
179,Largest Number,28.80%,Medium,0.030930301, https://leetcode.com/problems/largest-number
13,Roman to Integer,55.70%,Easy,0.030443751, https://leetcode.com/problems/roman-to-integer
268,Missing Number,51.70%,Easy,0.03011913, https://leetcode.com/problems/missing-number
1011,Capacity To Ship Packages Within D Days,58.10%,Medium,0.03010009, https://leetcode.com/problems/capacity-to-ship-packages-within-d-days
415,Add Strings,47.50%,Easy,0.030009754, https://leetcode.com/problems/add-strings
135,Candy,31.60%,Hard,0.029764102, https://leetcode.com/problems/candy
277,Find the Celebrity,41.80%,Medium,0.029697802, https://leetcode.com/problems/find-the-celebrity
1197,Minimum Knight Moves,36.10%,Medium,0.029697802, https://leetcode.com/problems/minimum-knight-moves
191,Number of 1 Bits,49.80%,Easy,0.029560623, https://leetcode.com/problems/number-of-1-bits
82,Remove Duplicates from Sorted List II,36.80%,Medium,0.028950237, https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii
771,Jewels and Stones,86.40%,Easy,0.028825631, https://leetcode.com/problems/jewels-and-stones
33,Search in Rotated Sorted Array,34.50%,Medium,0.02870095, https://leetcode.com/problems/search-in-rotated-sorted-array
62,Unique Paths,54.10%,Medium,0.028537492, https://leetcode.com/problems/unique-paths
77,Combinations,54.70%,Medium,0.028021759, https://leetcode.com/problems/combinations
20,Valid Parentheses,39.00%,Easy,0.027823734, https://leetcode.com/problems/valid-parentheses
68,Text Justification,27.70%,Hard,0.027645161, https://leetcode.com/problems/text-justification
796,Rotate String,49.60%,Easy,0.02701042, https://leetcode.com/problems/rotate-string
29,Divide Two Integers,16.40%,Medium,0.026820247, https://leetcode.com/problems/divide-two-integers
931,Minimum Falling Path Sum,62.50%,Medium,0.026721697, https://leetcode.com/problems/minimum-falling-path-sum
79,Word Search,35.60%,Medium,0.026308653, https://leetcode.com/problems/word-search
143,Reorder List,37.10%,Medium,0.025870946, https://leetcode.com/problems/reorder-list
242,Valid Anagram,56.90%,Easy,0.025684584, https://leetcode.com/problems/valid-anagram
218,The Skyline Problem,34.60%,Hard,0.025479085, https://leetcode.com/problems/the-skyline-problem
1038,Binary Search Tree to Greater Sum Tree,80.80%,Medium,0.025446666, https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree
162,Find Peak Element,43.30%,Medium,0.025162516, https://leetcode.com/problems/find-peak-element
322,Coin Change,35.50%,Medium,0.02492403, https://leetcode.com/problems/coin-change
220,Contains Duplicate III,20.90%,Medium,0.024876905, https://leetcode.com/problems/contains-duplicate-iii
138,Copy List with Random Pointer,36.40%,Medium,0.024537345, https://leetcode.com/problems/copy-list-with-random-pointer
310,Minimum Height Trees,32.30%,Medium,0.024466052, https://leetcode.com/problems/minimum-height-trees
977,Squares of a Sorted Array,72.10%,Easy,0.024074345, https://leetcode.com/problems/squares-of-a-sorted-array
1315,Sum of Nodes with Even-Valued Grandparent,83.50%,Medium,0.023981965, https://leetcode.com/problems/sum-of-nodes-with-even-valued-grandparent
91,Decode Ways,24.70%,Medium,0.023662743, https://leetcode.com/problems/decode-ways
198,House Robber,42.00%,Easy,0.023256862, https://leetcode.com/problems/house-robber
210,Course Schedule II,40.70%,Medium,0.02313388, https://leetcode.com/problems/course-schedule-ii
973,K Closest Points to Origin,63.80%,Medium,0.022897394, https://leetcode.com/problems/k-closest-points-to-origin
105,Construct Binary Tree from Preorder and Inorder Traversal,48.80%,Medium,0.02232547, https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
221,Maximal Square,37.70%,Medium,0.022108491, https://leetcode.com/problems/maximal-square
380,Insert Delete GetRandom O(1),47.50%,Medium,0.021962815, https://leetcode.com/problems/insert-delete-getrandom-o1
167,Two Sum II - Input array is sorted,54.10%,Easy,0.021849838, https://leetcode.com/problems/two-sum-ii-input-array-is-sorted
231,Power of Two,43.70%,Easy,0.02177681, https://leetcode.com/problems/power-of-two
45,Jump Game II,30.60%,Hard,0.021353124, https://leetcode.com/problems/jump-game-ii
359,Logger Rate Limiter,70.80%,Easy,0.021053409, https://leetcode.com/problems/logger-rate-limiter
670,Maximum Swap,43.60%,Medium,0.020844944, https://leetcode.com/problems/maximum-swap
122,Best Time to Buy and Sell Stock II,57.00%,Easy,0.020783856, https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii
279,Perfect Squares,47.40%,Medium,0.020619287, https://leetcode.com/problems/perfect-squares
32,Longest Valid Parentheses,28.40%,Hard,0.020385757, https://leetcode.com/problems/longest-valid-parentheses
454,4Sum II,53.10%,Medium,0.020336237, https://leetcode.com/problems/4sum-ii
166,Fraction to Recurring Decimal,21.60%,Medium,0.020151815, https://leetcode.com/problems/fraction-to-recurring-decimal
525,Contiguous Array,42.80%,Medium,0.019753729, https://leetcode.com/problems/contiguous-array
63,Unique Paths II,34.60%,Medium,0.019498018, https://leetcode.com/problems/unique-paths-ii
435,Non-overlapping Intervals,42.90%,Medium,0.019455867, https://leetcode.com/problems/non-overlapping-intervals
669,Trim a Binary Search Tree,63.00%,Easy,0.01913934, https://leetcode.com/problems/trim-a-binary-search-tree
229,Majority Element II,35.60%,Medium,0.01905727, https://leetcode.com/problems/majority-element-ii
151,Reverse Words in a String,21.90%,Medium,0.018673611, https://leetcode.com/problems/reverse-words-in-a-string
617,Merge Two Binary Trees,74.10%,Easy,0.018496212, https://leetcode.com/problems/merge-two-binary-trees
234,Palindrome Linked List,39.30%,Easy,0.01801242, https://leetcode.com/problems/palindrome-linked-list
126,Word Ladder II,22.10%,Hard,0.017994188, https://leetcode.com/problems/word-ladder-ii
542,01 Matrix,39.80%,Medium,0.017969935, https://leetcode.com/problems/01-matrix
406,Queue Reconstruction by Height,66.90%,Medium,0.017746695, https://leetcode.com/problems/queue-reconstruction-by-height
38,Count and Say,44.60%,Easy,0.01753064, https://leetcode.com/problems/count-and-say
22,Generate Parentheses,62.70%,Medium,0.017331456, https://leetcode.com/problems/generate-parentheses
95,Unique Binary Search Trees II,40.60%,Medium,0.016856699, https://leetcode.com/problems/unique-binary-search-trees-ii
692,Top K Frequent Words,51.80%,Medium,0.016832266, https://leetcode.com/problems/top-k-frequent-words
176,Second Highest Salary,31.60%,Easy,0.016559716, https://leetcode.com/problems/second-highest-salary
188,Best Time to Buy and Sell Stock IV,28.00%,Hard,0.016515652, https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv
116,Populating Next Right Pointers in Each Node,45.20%,Medium,0.016432723, https://leetcode.com/problems/populating-next-right-pointers-in-each-node
1108,Defanging an IP Address,87.50%,Easy,0.016423727, https://leetcode.com/problems/defanging-an-ip-address
73,Set Matrix Zeroes,43.10%,Medium,0.015715357, https://leetcode.com/problems/set-matrix-zeroes
938,Range Sum of BST,81.30%,Easy,0.015707129, https://leetcode.com/problems/range-sum-of-bst
215,Kth Largest Element in an Array,55.40%,Medium,0.015519225, https://leetcode.com/problems/kth-largest-element-in-an-array
114,Flatten Binary Tree to Linked List,49.30%,Medium,0.015450951, https://leetcode.com/problems/flatten-binary-tree-to-linked-list
1002,Find Common Characters,67.60%,Easy,0.015273302, https://leetcode.com/problems/find-common-characters
561,Array Partition I,72.00%,Easy,0.015186321, https://leetcode.com/problems/array-partition-i
153,Find Minimum in Rotated Sorted Array,45.10%,Medium,0.014939587, https://leetcode.com/problems/find-minimum-in-rotated-sorted-array
315,Count of Smaller Numbers After Self,41.50%,Hard,0.014352597, https://leetcode.com/problems/count-of-smaller-numbers-after-self
83,Remove Duplicates from Sorted List,45.40%,Easy,0.014238494, https://leetcode.com/problems/remove-duplicates-from-sorted-list
230,Kth Smallest Element in a BST,60.20%,Medium,0.014200302, https://leetcode.com/problems/kth-smallest-element-in-a-bst
371,Sum of Two Integers,50.70%,Medium,0.014064929, https://leetcode.com/problems/sum-of-two-integers
76,Minimum Window Substring,34.60%,Hard,0.013966707, https://leetcode.com/problems/minimum-window-substring
345,Reverse Vowels of a String,44.20%,Easy,0.013947227, https://leetcode.com/problems/reverse-vowels-of-a-string
724,Find Pivot Index,44.00%,Easy,0.013850637, https://leetcode.com/problems/find-pivot-index
767,Reorganize String,48.70%,Medium,0.013298068, https://leetcode.com/problems/reorganize-string
347,Top K Frequent Elements,61.20%,Medium,0.013292176, https://leetcode.com/problems/top-k-frequent-elements
695,Max Area of Island,62.70%,Medium,0.012686501, https://leetcode.com/problems/max-area-of-island
9,Palindrome Number,48.40%,Easy,0.012096617, https://leetcode.com/problems/palindrome-number
543,Diameter of Binary Tree,48.40%,Easy,0.011898607, https://leetcode.com/problems/diameter-of-binary-tree
378,Kth Smallest Element in a Sorted Matrix,54.30%,Medium,0.011634803, https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix
69,Sqrt(x),33.90%,Easy,0.011443227, https://leetcode.com/problems/sqrtx
190,Reverse Bits,39.80%,Easy,0.011393278, https://leetcode.com/problems/reverse-bits
123,Best Time to Buy and Sell Stock III,37.50%,Hard,0.01126138, https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii
171,Excel Sheet Column Number,55.90%,Easy,0.011195191, https://leetcode.com/problems/excel-sheet-column-number
207,Course Schedule,43.10%,Medium,0.011134595, https://leetcode.com/problems/course-schedule
104,Maximum Depth of Binary Tree,66.00%,Easy,0.011105056, https://leetcode.com/problems/maximum-depth-of-binary-tree
169,Majority Element,58.70%,Easy,0.010558521, https://leetcode.com/problems/majority-element
211,Add and Search Word - Data structure design,38.10%,Medium,0.010438508, https://leetcode.com/problems/add-and-search-word-data-structure-design
67,Add Binary,45.20%,Easy,0.010342637, https://leetcode.com/problems/add-binary
819,Most Common Word,44.80%,Easy,0.010269667, https://leetcode.com/problems/most-common-word
113,Path Sum II,46.70%,Medium,0.009784814, https://leetcode.com/problems/path-sum-ii
47,Permutations II,46.40%,Medium,0.009673594, https://leetcode.com/problems/permutations-ii
905,Sort Array By Parity,74.10%,Easy,0.009603915, https://leetcode.com/problems/sort-array-by-parity
70,Climbing Stairs,47.80%,Easy,0.009390798, https://leetcode.com/problems/climbing-stairs
74,Search a 2D Matrix,36.50%,Medium,0.009341497, https://leetcode.com/problems/search-a-2d-matrix
28,Implement strStr(),34.50%,Easy,0.008850486, https://leetcode.com/problems/implement-strstr
700,Search in a Binary Search Tree,73.10%,Easy,0.008512501, https://leetcode.com/problems/search-in-a-binary-search-tree
173,Binary Search Tree Iterator,56.60%,Medium,0.008489015, https://leetcode.com/problems/binary-search-tree-iterator
209,Minimum Size Subarray Sum,38.20%,Medium,0.008414017, https://leetcode.com/problems/minimum-size-subarray-sum
763,Partition Labels,76.10%,Medium,0.008385793, https://leetcode.com/problems/partition-labels
78,Subsets,62.00%,Medium,0.008278193, https://leetcode.com/problems/subsets
239,Sliding Window Maximum,43.00%,Hard,0.007898935, https://leetcode.com/problems/sliding-window-maximum
6,ZigZag Conversion,36.30%,Medium,0.007711625, https://leetcode.com/problems/zigzag-conversion
175,Combine Two Tables,60.80%,Easy,0.007696786, https://leetcode.com/problems/combine-two-tables
876,Middle of the Linked List,68.40%,Easy,0.007624894, https://leetcode.com/problems/middle-of-the-linked-list
240,Search a 2D Matrix II,43.20%,Medium,0.007582975, https://leetcode.com/problems/search-a-2d-matrix-ii
66,Plus One,43.00%,Easy,0.007324848, https://leetcode.com/problems/plus-one
10,Regular Expression Matching,26.80%,Hard,0.00718652, https://leetcode.com/problems/regular-expression-matching
204,Count Primes,31.50%,Easy,0.007072165, https://leetcode.com/problems/count-primes
110,Balanced Binary Tree,43.50%,Easy,0.007027436, https://leetcode.com/problems/balanced-binary-tree
103,Binary Tree Zigzag Level Order Traversal,48.30%,Medium,0.006816369, https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
118,Pascal's Triangle,52.50%,Easy,0.006749941, https://leetcode.com/problems/pascals-triangle
98,Validate Binary Search Tree,27.80%,Medium,0.006611351, https://leetcode.com/problems/validate-binary-search-tree
142,Linked List Cycle II,37.30%,Medium,0.006564934, https://leetcode.com/problems/linked-list-cycle-ii
107,Binary Tree Level Order Traversal II,53.50%,Easy,0.006423661, https://leetcode.com/problems/binary-tree-level-order-traversal-ii
64,Minimum Path Sum,54.50%,Medium,0.00612747, https://leetcode.com/problems/minimum-path-sum
39,Combination Sum,56.10%,Medium,0.005715934, https://leetcode.com/problems/combination-sum
199,Binary Tree Right Side View,54.10%,Medium,0.005682641, https://leetcode.com/problems/binary-tree-right-side-view
226,Invert Binary Tree,65.00%,Easy,0.005508138, https://leetcode.com/problems/invert-binary-tree
350,Intersection of Two Arrays II,51.40%,Easy,0.00521038, https://leetcode.com/problems/intersection-of-two-arrays-ii
55,Jump Game,34.60%,Medium,0.005022612, https://leetcode.com/problems/jump-game
35,Search Insert Position,42.60%,Easy,0.004646849, https://leetcode.com/problems/search-insert-position
560,Subarray Sum Equals K,43.90%,Medium,0.004279454, https://leetcode.com/problems/subarray-sum-equals-k
217,Contains Duplicate,56.00%,Easy,0.003797954, https://leetcode.com/problems/contains-duplicate
203,Remove Linked List Elements,38.60%,Easy,0.003649639, https://leetcode.com/problems/remove-linked-list-elements
101,Symmetric Tree,46.80%,Easy,0.003405708, https://leetcode.com/problems/symmetric-tree
94,Binary Tree Inorder Traversal,63.30%,Medium,0.003355145, https://leetcode.com/problems/binary-tree-inorder-traversal
260,Single Number III,64.30%,Medium,0.00202881, https://leetcode.com/problems/single-number-iii
26,Remove Duplicates from Sorted Array,45.10%,Easy,0.001951315, https://leetcode.com/problems/remove-duplicates-from-sorted-array
